review_id,review_text,rating,clean_text,rating_filled,rating_norm
1,<p>Amazing movie!</p>,8.0,amazing movie!,8.0,0.8
2,Terrible acting & plot!!!,2.0,terrible acting & plot!!!,2.0,0.2
3,<p>Amazing movie!</p>,,amazing movie!,8.0,0.8
4,Terrible acting & plot!!!,8.0,terrible acting & plot!!!,8.0,0.8
5,<p>Amazing movie!</p>,5.0,amazing movie!,5.0,0.5
6,Terrible acting & plot!!!,2.0,terrible acting & plot!!!,2.0,0.2
7,<p>Amazing movie!</p>,8.0,amazing movie!,8.0,0.8
8,Terrible acting & plot!!!,8.0,terrible acting & plot!!!,8.0,0.8
9,<p>Amazing movie!</p>,10.0,amazing movie!,10.0,1.0
10,Terrible acting & plot!!!,5.0,terrible acting & plot!!!,5.0,0.5
11,<p>Amazing movie!</p>,8.0,amazing movie!,8.0,0.8
12,Terrible acting & plot!!!,2.0,terrible acting & plot!!!,2.0,0.2
13,<p>Amazing movie!</p>,10.0,amazing movie!,10.0,1.0
14,Terrible acting & plot!!!,8.0,terrible acting & plot!!!,8.0,0.8
15,<p>Amazing movie!</p>,,amazing movie!,8.0,0.8
